2026-02-06 10:23:57,835 | INFO | Приложение запущено
2026-02-06 10:30:40,038 | INFO | Приложение запущено
2026-02-06 10:31:01,411 | INFO | Сохранено 6 менеджеров
2026-02-06 10:31:03,190 | INFO | Обработка завершена за 0.22с
2026-02-06 10:31:03,191 | INFO | Обработан файл: нефтепродукты Москва 20260206_101152.csv, строительство быстровозводимых зданий Москва 20260206_100658.csv, токарные станки Москва 20260206_100408.csv
2026-02-06 10:31:03,191 | INFO |   Всего строк: 5250
2026-02-06 10:31:03,192 | INFO |   Валидных: 0
2026-02-06 10:31:03,192 | INFO |   Дубликатов удалено: 0
2026-02-06 10:31:03,192 | INFO |   Невалидных телефонов: 5250
2026-02-06 10:34:26,061 | INFO | Приложение запущено
2026-02-06 10:34:36,677 | INFO | Обработка завершена за 2.65с
2026-02-06 10:34:36,678 | INFO | Обработан файл: нефтепродукты Москва 20260206_101152.csv, строительство быстровозводимых зданий Москва 20260206_100658.csv, токарные станки Москва 20260206_100408.csv
2026-02-06 10:34:36,678 | INFO |   Всего строк: 5250
2026-02-06 10:34:36,679 | INFO |   Валидных: 968
2026-02-06 10:34:36,679 | INFO |   Дубликатов удалено: 3397
2026-02-06 10:34:36,679 | INFO |   Невалидных телефонов: 885
2026-02-06 10:39:07,704 | INFO | Приложение запущено
2026-02-06 10:39:11,667 | ERROR | Ошибка обработки: Не удалось обработать файлы
2026-02-06 10:40:22,674 | INFO | Приложение запущено
2026-02-06 10:40:27,995 | ERROR | Ошибка обработки: 'phone_1'
2026-02-06 10:43:51,626 | INFO | Приложение запущено
2026-02-06 10:43:59,425 | INFO | Обработка завершена за 2.25с
2026-02-06 10:43:59,426 | INFO | Обработан файл: нефтепродукты Москва 20260206_101152.csv, строительство быстровозводимых зданий Москва 20260206_100658.csv, токарные станки Москва 20260206_100408.csv
2026-02-06 10:43:59,426 | INFO |   Всего строк: 5250
2026-02-06 10:43:59,426 | INFO |   Валидных: 797
2026-02-06 10:43:59,426 | INFO |   Дубликатов удалено: 3203
2026-02-06 10:43:59,428 | INFO |   Невалидных телефонов: 1250
2026-02-06 10:47:13,851 | INFO | Экспорт в Битрикс: C:/Users/direct01/Desktop/bitrix_import.csv
2026-02-06 10:47:13,853 | INFO |   Строк экспортировано: 797
2026-02-06 10:53:09,809 | INFO | Приложение запущено
2026-02-06 10:53:22,554 | ERROR | Ошибка обработки: name 'result' is not defined
2026-02-06 10:54:39,985 | INFO | Приложение запущено
2026-02-06 10:54:45,869 | INFO | Обработка завершена за 2.38с
2026-02-06 10:54:45,869 | INFO | Обработан файл: нефтепродукты Москва 20260206_101152.csv, строительство быстровозводимых зданий Москва 20260206_100658.csv, токарные станки Москва 20260206_100408.csv
2026-02-06 10:54:45,869 | INFO |   Всего строк: 5250
2026-02-06 10:54:45,870 | INFO |   Валидных: 797
2026-02-06 10:54:45,870 | INFO |   Дубликатов удалено: 3203
2026-02-06 10:54:45,870 | INFO |   Невалидных телефонов: 1250
2026-02-06 10:55:18,560 | INFO | Экспорт в Битрикс: C:/Users/direct01/Desktop/bitrix_import.csv
2026-02-06 10:55:18,560 | INFO |   Строк экспортировано: 797
2026-02-06 10:59:58,501 | INFO | Приложение запущено
2026-02-06 11:00:07,956 | INFO | Обработка завершена за 2.36с
2026-02-06 11:00:07,958 | INFO | Обработан файл: нефтепродукты Москва 20260206_101152.csv, строительство быстровозводимых зданий Москва 20260206_100658.csv, токарные станки Москва 20260206_100408.csv
2026-02-06 11:00:07,958 | INFO |   Всего строк: 5250
2026-02-06 11:00:07,958 | INFO |   Валидных: 797
2026-02-06 11:00:07,958 | INFO |   Дубликатов удалено: 3203
2026-02-06 11:00:07,959 | INFO |   Невалидных телефонов: 1250
2026-02-06 11:00:14,953 | INFO | Экспорт в Битрикс: C:/Users/direct01/Desktop/bitrix_import.csv
2026-02-06 11:00:14,953 | INFO |   Строк экспортировано: 797
2026-02-06 11:14:13,426 | INFO | Приложение запущено
2026-02-06 11:14:39,123 | INFO | Обработка завершена за 2.42с
2026-02-06 11:14:39,123 | INFO | Обработан файл: нефтепродукты Москва 20260206_101152.csv, строительство быстровозводимых зданий Москва 20260206_100658.csv, токарные станки Москва 20260206_100408.csv
2026-02-06 11:14:39,124 | INFO |   Всего строк: 5250
2026-02-06 11:14:39,124 | INFO |   Валидных: 1057
2026-02-06 11:14:39,124 | INFO |   Дубликатов удалено: 3646
2026-02-06 11:14:39,124 | INFO |   Невалидных телефонов: 547
